"Date","APPL","NASDAQ","WTI","Gold","Copper","TNYR","DXY","CQQQ","CAC40"
2015-08-07,26.602695,5043.540039,43.869999,1094.099976,2.3415,2.175,97.559998,32.234211,5154.75
2015-08-10,27.569904,5101.799805,44.959999,1104.199951,2.4075,2.238,97.160004,33.320019,5195.410156
2015-08-11,26.13522,5036.790039,43.080002,1107.599976,2.341,2.137,97.290001,32.281418,5099.029785
2015-08-12,26.538216,5044.390137,43.299999,1123.199951,2.3605,2.13,96.260002,31.290037,4925.430176
2015-08-13,26.517494,5033.560059,42.23,1115.699951,2.3655,2.189,96.449997,31.280598,4986.850098
2015-08-14,26.704023,5048.240234,42.5,1112.900024,2.364,2.196,96.57,31.214508,4956.470215
2015-08-17,26.980371,5091.700195,41.869999,1118.599976,2.3325,2.15,96.82,31.044552,4984.830078
2015-08-18,26.828377,5059.350098,42.619999,1117.099976,2.297,2.196,96.970001,30.374184,4971.25
2015-08-19,26.48525,5019.049805,40.799999,1128.099976,2.283,2.129,96.459999,29.892651,4884.100098
2015-08-20,25.941778,4877.490234,41.139999,1153,2.323,2.084,95.75,28.627457,4783.549805
2015-08-21,24.355104,4706.040039,40.450001,1159.599976,2.307,2.054,94.830002,27.664394,4630.990234
2015-08-24,23.747149,4526.25,38.240002,1153.400024,2.269,1.997,93.309998,26.285896,4383.459961
2015-08-25,23.889921,4506.490234,39.310001,1138.199951,2.323,2.133,94.529999,26.984589,4564.859863
2015-08-26,25.260132,4697.540039,38.599998,1124.599976,2.251,2.172,95.099998,27.012915,4501.049805
2015-08-27,26.003952,4812.709961,42.560001,1122.400024,2.334,2.168,95.610001,28.693548,4658.180176
2015-08-28,26.089159,4828.319824,45.220001,1133.099976,2.3465,2.186,96.110001,28.769083,4675.129883
2015-08-31,25.967106,4776.509766,49.200001,1131.599976,2.338,2.2,95.949997,27.673838,4652.950195
2015-09-01,24.806465,4636.100098,45.41,1138.699951,2.3025,2.172,95.449997,26.569151,4541.160156
2015-09-02,25.870384,4749.97998,46.25,1132.5,2.333,2.193,95.830002,27.031794,4554.919922
2015-09-03,25.416723,4733.5,46.75,1123.699951,2.39,2.168,96.410004,27.381144,4653.790039
2015-09-04,25.16341,4683.919922,46.049999,1120.599976,2.3195,2.128,96.230003,26.455851,4523.080078
2015-09-08,25.863482,4811.930176,45.939999,1120.400024,2.4385,2.194,95.879997,27.843786,4598.259766
2015-09-09,25.36606,4756.529785,44.150002,1102.199951,2.4425,2.181,96.010002,27.777697,4664.589844
2015-09-10,25.923351,4796.25,45.919998,1109.5,2.4545,2.222,95.459999,27.73049,4596.529785
2015-09-11,26.301023,4822.339844,44.630001,1103.5,2.462,2.183,95.190002,27.947647,4548.720215
2015-09-14,26.55434,4805.759766,44,1107.699951,2.414,2.18,95.25,27.503887,4518.149902
2015-09-15,26.777712,4860.52002,44.59,1102.800049,2.436,2.281,95.610001,27.806023,4569.370117
2015-09-16,26.807653,4889.240234,47.150002,1119.199951,2.4615,2.303,95.419998,29.099545,4645.839844
2015-09-17,26.234238,4893.950195,46.900002,1117.300049,2.4615,2.217,94.550003,28.80685,4655.140137
2015-09-18,26.126007,4827.22998,44.68,1138.099976,2.397,2.13,94.860001,28.448061,4535.850098
2015-09-21,26.531311,4828.950195,46.68,1133.099976,2.3985,2.214,95.889999,28.769083,4585.5
2015-09-22,26.114496,4756.720215,45.830002,1125,2.307,2.125,96.279999,28.004297,4428.509766
2015-09-23,26.326353,4752.740234,44.48,1131.599976,2.3055,2.144,96.07,27.711605,4432.830078
